timesec,feature_mean
7.896,241.720,close
7.929,244.060,close
7.964,246.520,close
7.996,237.840,close
8.030,242.760,close
8.066,238.120,close
8.096,240.260,close
8.134,237.500,close
8.168,244.500,close
8.200,240.880,close
8.230,243.780,close
8.263,242.800,close
